service_id,date,exception_type
14,20210106,1
14,20210107,1
14,20210108,1
15,20210109,1
16,20210110,1
14,20210111,1
14,20210112,1
14,20210113,1
14,20210114,1
14,20210115,1
15,20210116,1
16,20210117,1
15,20210118,1
14,20210119,1
14,20210120,1
14,20210121,1
14,20210122,1
15,20210123,1
16,20210124,1
14,20210125,1
14,20210126,1
14,20210127,1
14,20210128,1
14,20210129,1
15,20210130,1
16,20210131,1
14,20210201,1
14,20210202,1
14,20210203,1
14,20210204,1
14,20210205,1
15,20210206,1
16,20210207,1
14,20210208,1
14,20210209,1
14,20210210,1
14,20210211,1
14,20210212,1
15,20210213,1
16,20210214,1
14,20210215,1
14,20210216,1
14,20210217,1
14,20210218,1
14,20210219,1
15,20210220,1
16,20210221,1
14,20210222,1
14,20210223,1
14,20210224,1
14,20210225,1
14,20210226,1
15,20210227,1
16,20210228,1
14,20210301,1
14,20210302,1
14,20210303,1
14,20210304,1
14,20210305,1
15,20210306,1
16,20210307,1
14,20210308,1
14,20210309,1
14,20210310,1
14,20210311,1
14,20210312,1
15,20210313,1
16,20210314,1
14,20210315,1
14,20210316,1
14,20210317,1
14,20210318,1
14,20210319,1
15,20210320,1
16,20210321,1
14,20210322,1
14,20210323,1
14,20210324,1
14,20210325,1
14,20210326,1
15,20210327,1
16,20210328,1
14,20210329,1
14,20210330,1
14,20210331,1
14,20210401,1
15,20210402,1
15,20210403,1
16,20210404,1
14,20210405,1
14,20210406,1
14,20210407,1
14,20210408,1
14,20210409,1
15,20210410,1
16,20210411,1
14,20210412,1
14,20210413,1
14,20210414,1
14,20210415,1
14,20210416,1
15,20210417,1
16,20210418,1
14,20210419,1
14,20210420,1
14,20210421,1
14,20210422,1
14,20210423,1
15,20210424,1
16,20210425,1
14,20210426,1
14,20210427,1
14,20210428,1
14,20210429,1
14,20210430,1
15,20210501,1
16,20210502,1
14,20210503,1
14,20210504,1
14,20210505,1
14,20210506,1
14,20210507,1
15,20210508,1
16,20210509,1
14,20210510,1
14,20210511,1
14,20210512,1
14,20210513,1
14,20210514,1
15,20210515,1
16,20210516,1
14,20210517,1
14,20210518,1
14,20210519,1
14,20210520,1
14,20210521,1
15,20210522,1
16,20210523,1
14,20210524,1
14,20210525,1
14,20210526,1
14,20210527,1
14,20210528,1
15,20210529,1
16,20210530,1
16,20210531,1
14,20210601,1
14,20210602,1
14,20210603,1
14,20210604,1
15,20210605,1
16,20210606,1
14,20210607,1
14,20210608,1
14,20210609,1
14,20210610,1
14,20210611,1
15,20210612,1
16,20210613,1
14,20210614,1
14,20210615,1
14,20210616,1
14,20210617,1
14,20210618,1
15,20210619,1
16,20210620,1
14,20210621,1
14,20210622,1
14,20210623,1
14,20210624,1
14,20210625,1
15,20210626,1
16,20210627,1
14,20210628,1
14,20210629,1
14,20210630,1
14,20210701,1
14,20210702,1
15,20210703,1
16,20210704,1
14,20210705,1
14,20210706,1
14,20210707,1
14,20210708,1
14,20210709,1
15,20210710,1
16,20210711,1
14,20210712,1
14,20210713,1
14,20210714,1
14,20210715,1
14,20210716,1
15,20210717,1
16,20210718,1
14,20210719,1
14,20210720,1
14,20210721,1
14,20210722,1
14,20210723,1
15,20210724,1
16,20210725,1
14,20210726,1
14,20210727,1
14,20210728,1
14,20210729,1
14,20210730,1
15,20210731,1
16,20210801,1
14,20210802,1
14,20210803,1
14,20210804,1
14,20210805,1
14,20210806,1
15,20210807,1
16,20210808,1
14,20210809,1
14,20210810,1
14,20210811,1
14,20210812,1
14,20210813,1
15,20210814,1
16,20210815,1
14,20210816,1
14,20210817,1
14,20210818,1
14,20210819,1
14,20210820,1
15,20210821,1
16,20210822,1
14,20210823,1
14,20210824,1
14,20210825,1
14,20210826,1
14,20210827,1
15,20210828,1
16,20210829,1
14,20210830,1
14,20210831,1
14,20210901,1
14,20210902,1
14,20210903,1
15,20210904,1
16,20210905,1
14,20210906,1
14,20210907,1
14,20210908,1
14,20210909,1
14,20210910,1
15,20210911,1
16,20210912,1
14,20210913,1
14,20210914,1
14,20210915,1
14,20210916,1
14,20210917,1
15,20210918,1
16,20210919,1
14,20210920,1
14,20210921,1
14,20210922,1
14,20210923,1
14,20210924,1
15,20210925,1
16,20210926,1
14,20210927,1
14,20210928,1
14,20210929,1
14,20210930,1
14,20211001,1
15,20211002,1
16,20211003,1
14,20211004,1
14,20211005,1
14,20211006,1
14,20211007,1
14,20211008,1
15,20211009,1
16,20211010,1
14,20211011,1
14,20211012,1
14,20211013,1
14,20211014,1
14,20211015,1
15,20211016,1
16,20211017,1
14,20211018,1
14,20211019,1
14,20211020,1
14,20211021,1
14,20211022,1
15,20211023,1
16,20211024,1
14,20211025,1
14,20211026,1
14,20211027,1
14,20211028,1
14,20211029,1
15,20211030,1
16,20211031,1
14,20211101,1
14,20211102,1
14,20211103,1
14,20211104,1
14,20211105,1
15,20211106,1
16,20211107,1
14,20211108,1
14,20211109,1
14,20211110,1
14,20211111,1
14,20211112,1
15,20211113,1
16,20211114,1
14,20211115,1
14,20211116,1
14,20211117,1
14,20211118,1
14,20211119,1
15,20211120,1
16,20211121,1
14,20211122,1
14,20211123,1
14,20211124,1
16,20211125,1
14,20211126,1
15,20211127,1
16,20211128,1
14,20211129,1
14,20211130,1
14,20211201,1
14,20211202,1
14,20211203,1
15,20211204,1
16,20211205,1
14,20211206,1
14,20211207,1
14,20211208,1
14,20211209,1
14,20211210,1
15,20211211,1
16,20211212,1
14,20211213,1
14,20211214,1
14,20211215,1
14,20211216,1
14,20211217,1
15,20211218,1
16,20211219,1
14,20211220,1
14,20211221,1
14,20211222,1
14,20211223,1
14,20211224,1
15,20211225,1
16,20211226,1
14,20211227,1
14,20211228,1
14,20211229,1
14,20211230,1
14,20211231,1
